"Investment Type ID","Investment Type","Quarter ID","Quarter_","Time ID","Investment (USD)"
2,"Nuevas Inversiones",20172,"2017-T2",1493614800000,-101201454.16259766
2,"Nuevas Inversiones",20173,"2017-T3",1501563600000,60924018.85986328
2,"Nuevas Inversiones",20174,"2017-T4",1509512400000,233039428.7109375
2,"Nuevas Inversiones",20181,"2018-T1",1517464800000,259001251.22070312
2,"Nuevas Inversiones",20182,"2018-T2",1525150800000,75515625
2,"Nuevas Inversiones",20183,"2018-T3",1533099600000,118689460.75439453
2,"Nuevas Inversiones",20184,"2018-T4",1541048400000,6440203.1898498535
2,"Nuevas Inversiones",20191,"2019-T1",1549000800000,192819381.7138672
2,"Nuevas Inversiones",20192,"2019-T2",1556686800000,31966106.414794922
2,"Nuevas Inversiones",20193,"2019-T3",1564635600000,1572103271.484375
2,"Nuevas Inversiones",20194,"2019-T4",1572584400000,557462463.3789062
2,"Nuevas Inversiones",20201,"2020-T1",1580536800000,219670959.47265625
2,"Nuevas Inversiones",20202,"2020-T2",1588309200000,534910766.6015625
2,"Nuevas Inversiones",20203,"2020-T3",1596258000000,78353157.04345703
2,"Nuevas Inversiones",20204,"2020-T4",1604206800000,-154639495.84960938
2,"Nuevas Inversiones",20211,"2021-T1",1612159200000,59882675.17089844
2,"Nuevas Inversiones",20212,"2021-T2",1619845200000,197761718.75
2,"Nuevas Inversiones",20213,"2021-T3",1627794000000,117098701.47705078
2,"Nuevas Inversiones",20214,"2021-T4",1635742800000,132030487.06054688
2,"Nuevas Inversiones",20221,"2022-T1",1643695200000,358097778.3203125
2,"Nuevas Inversiones",20222,"2022-T2",1651381200000,86773979.18701172
2,"Nuevas Inversiones",20223,"2022-T3",1659330000000,24427291.870117188
2,"Nuevas Inversiones",20224,"2022-T4",1667278800000,589316650.390625
2,"Nuevas Inversiones",20231,"2023-T1",1675231200000,1905522.9425430298
2,"Nuevas Inversiones",20232,"2023-T2",1682917200000,102973075.86669922
3,"Reinversión de Utilidades",19993,"1999-T3",933483600000,0
3,"Reinversión de Utilidades",19994,"1999-T4",941436000000,0
3,"Reinversión de Utilidades",20001,"2000-T1",949384800000,35968284.606933594
3,"Reinversión de Utilidades",20002,"2000-T2",957157200000,44149.000197649
3,"Reinversión de Utilidades",20003,"2000-T3",965106000000,0
3,"Reinversión de Utilidades",20004,"2000-T4",973058400000,0
3,"Reinversión de Utilidades",20011,"2001-T1",981007200000,16897233.963012695
3,"Reinversión de Utilidades",20012,"2001-T2",988696800000,18783512.115478516
3,"Reinversión de Utilidades",20014,"2001-T4",1004594400000,0
3,"Reinversión de Utilidades",20021,"2002-T1",1012543200000,45329765.31982422
3,"Reinversión de Utilidades",20022,"2002-T2",1020229200000,69263732.91015625
3,"Reinversión de Utilidades",20023,"2002-T3",1028178000000,265909.99960899353
3,"Reinversión de Utilidades",20024,"2002-T4",1036130400000,0
3,"Reinversión de Utilidades",20031,"2003-T1",1044079200000,50622299.19433594
3,"Reinversión de Utilidades",20032,"2003-T2",1051765200000,104428222.65625
3,"Reinversión de Utilidades",20033,"2003-T3",1059714000000,0
3,"Reinversión de Utilidades",20034,"2003-T4",1067666400000,17328565.59753418
3,"Reinversión de Utilidades",20041,"2004-T1",1075615200000,124483314.51416016
